data;ricoverati_con_sintomi;terapia_intensiva;totale_ospedalizzati;isolamento_domiciliare;totale_positivi;variazione_totale_positivi;nuovi_positivi;dimessi_guariti;deceduti;casi_da_sospetto_diagnostico;casi_da_screening;totale_casi;tamponi;casi_testati;CASI TESTATI GIORNALIERI;TAMPONI GIORNALIERI;CONTAGI PONDERATI (TAMPONI);CONTAGI PONDERATI (CON CASI TESTATI);PERCENTUALE CONTAGI GIORNALIERI;ISOLAMENTI DOMICILIARE GIORNALIERI;TERAPIE INTENSIVE GIORNALIERE;RICOVERI GIORNALIERI;GUARITI GIORNALIERI;DECEDUTI GIORNALIERI;RICOVERATI;TERAPIA INTENSIVA;ISOLAMENTO DOMICILIARE;GUARITI;DECESSI;POSITIVI;CASI TESTATI ;TAMPONI EFFETTUATI;PERCENTUALI POSITIVI;TOTALI POSITIVI;TOTALI RICOVERATI;TOTALI TERAPIA INTENSIVA;TOTALI ISOLAMENTO DOMICILIARE
24/02/2020;0;0;0;0;0;0;0;0;0;;;0;5;;#VALORE!;#VALORE!;#VALORE!;;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;14;2;985;385;36;1422;4517;7416;27,98187409;28807;1476;217;27114
25/02/2020;1;0;1;2;3;3;3;0;0;;;3;5;;#VALORE!;0;0;#VALORE!;#VALORE!;2;0;1;0;0;;;;;;;;;;;;;
26/02/2020;1;0;1;2;3;0;0;0;0;;;3;5;;#VALORE!;0;0;#VALORE!;#VALORE!;0;0;0;0;0;;;;;;;;;;;;;
27/02/2020;1;0;1;1;2;-1;1;2;0;;;4;5;;#VALORE!;0;0;#VALORE!;#VALORE!;-1;0;0;2;0;;;;;;;;;;;;;
28/02/2020;1;0;1;1;2;0;0;2;0;;;4;5;;#VALORE!;0;0;#VALORE!;#VALORE!;0;0;0;0;0;;;;;;;;;;;;;
29/02/2020;1;0;1;1;2;0;0;2;0;;;4;6;;#VALORE!;1;0;#VALORE!;#VALORE!;0;0;0;0;0;;;;;;;;;;;;;
01/03/2020;1;0;1;6;7;5;5;2;0;;;9;291;;#VALORE!;285;4,896907216;#VALORE!;#VALORE!;5;0;0;0;0;;;;;;;;;;;;;
02/03/2020;2;0;2;3;5;-2;-2;2;0;;;7;307;;#VALORE!;16;-0,104234528;#VALORE!;#VALORE!;-3;0;1;0;0;;;;;;;;;;;;;
03/03/2020;2;0;2;3;5;0;0;2;0;;;7;307;;#VALORE!;0;0;#VALORE!;#VALORE!;0;0;0;0;0;;;;;;;;;;;;;
04/03/2020;5;0;5;11;16;11;11;2;0;;;18;367;;#VALORE!;60;1,798365123;#VALORE!;#VALORE!;8;0;3;0;0;;;;;;;;;;;;;
05/03/2020;5;0;5;11;16;0;0;2;0;;;18;367;;#VALORE!;0;0;#VALORE!;#VALORE!;0;0;0;0;0;;;;;;;;;;;;;
06/03/2020;7;0;7;15;22;6;6;2;0;;;24;367;;#VALORE!;0;0;#VALORE!;#VALORE!;4;0;2;0;0;;;;;;;;;;;;;
07/03/2020;8;0;8;25;33;11;11;2;0;;;35;643;;#VALORE!;276;4,721617418;#VALORE!;#VALORE!;10;0;1;0;0;;;;;;;;;;;;;
08/03/2020;18;0;18;33;51;18;18;2;0;;;53;791;;#VALORE!;148;3,367888748;#VALORE!;#VALORE!;8;0;10;0;0;;;;;;;;;;;;;
09/03/2020;19;0;19;33;52;1;1;2;0;;;54;836;;#VALORE!;45;0,053827751;#VALORE!;#VALORE!;0;0;1;0;0;;;;;;;;;;;;;
10/03/2020;17;2;19;41;60;8;8;2;0;;;62;955;;#VALORE!;119;0,996858639;#VALORE!;#VALORE!;8;2;-2;0;0;;;;;;;;;;;;;
11/03/2020;23;1;24;57;81;21;21;2;0;;;83;1194;;#VALORE!;239;4,203517588;#VALORE!;#VALORE!;16;-1;6;0;0;;;;;;;;;;;;;
12/03/2020;28;5;33;78;111;30;32;2;2;;;115;1477;;#VALORE!;283;6,131347326;#VALORE!;#VALORE!;21;4;5;0;2;;;;;;;;;;;;;
13/03/2020;37;7;44;82;126;15;15;2;2;;;130;1950;;#VALORE!;473;3,638461538;#VALORE!;#VALORE!;4;2;9;0;0;;;;;;;;;;;;;
14/03/2020;42;11;53;97;150;24;26;4;2;;;156;2100;;#VALORE!;150;1,857142857;#VALORE!;#VALORE!;15;4;5;2;0;;;;;;;;;;;;;
15/03/2020;56;15;71;108;179;29;32;7;2;;;188;2452;;#VALORE!;352;4,593800979;#VALORE!;#VALORE!;11;4;14;3;0;;;;;;;;;;;;;
16/03/2020;75;20;95;108;203;24;25;8;2;;;213;2653;;#VALORE!;201;1,894082171;#VALORE!;#VALORE!;0;5;19;1;0;;;;;;;;;;;;;
17/03/2020;86;28;114;112;226;23;24;8;3;;;237;2916;;#VALORE!;263;2,164609053;#VALORE!;#VALORE!;4;8;11;0;1;;;;;;;;;;;;;
18/03/2020;100;29;129;138;267;41;45;12;3;;;282;3294;;#VALORE!;378;5,163934426;#VALORE!;#VALORE!;26;1;14;4;0;;;;;;;;;;;;;
19/03/2020;143;36;179;142;321;54;58;15;4;;;340;3961;;#VALORE!;667;9,766725574;#VALORE!;#VALORE!;4;7;43;3;1;;;;;;;;;;;;;
20/03/2020;168;42;210;169;379;58;68;25;4;;;408;4468;;#VALORE!;507;7,716204118;#VALORE!;#VALORE!;27;6;25;10;0;;;;;;;;;;;;;
21/03/2020;206;48;254;204;458;79;82;26;6;;;490;4883;;#VALORE!;415;6,969076387;#VALORE!;#VALORE!;35;6;38;1;2;;;;;;;;;;;;;
22/03/2020;220;55;275;321;596;138;140;26;8;;;630;5580;;#VALORE!;697;17,4874552;#VALORE!;#VALORE!;117;7;14;0;2;;;;;;;;;;;;;
23/03/2020;250;60;310;371;681;85;91;27;13;;;721;6375;;#VALORE!;795;11,34823529;#VALORE!;#VALORE!;50;5;30;1;5;;;;;;;;;;;;;
24/03/2020;250;60;310;489;799;118;125;27;20;;;846;7170;;#VALORE!;795;13,85983264;#VALORE!;#VALORE!;118;0;0;0;7;;;;;;;;;;;;;
25/03/2020;259;80;339;597;936;137;148;33;25;;;994;8312;;#VALORE!;1142;20,33397498;#VALORE!;#VALORE!;108;20;9;6;5;;;;;;;;;;;;;
26/03/2020;346;68;414;681;1095;159;170;36;33;;;1164;9658;;#VALORE!;1346;23,69227583;#VALORE!;#VALORE!;84;-12;87;3;8;;;;;;;;;;;;;
27/03/2020;425;75;500;658;1158;63;86;53;39;;;1250;11079;;#VALORE!;1421;11,03041791;#VALORE!;#VALORE!;-23;7;79;17;6;;;;;;;;;;;;;
28/03/2020;441;71;512;730;1242;84;109;60;57;;;1359;13096;;#VALORE!;2017;16,7877978;#VALORE!;#VALORE!;72;-4;16;7;18;;;;;;;;;;;;;
29/03/2020;451;71;522;808;1330;88;101;65;65;;;1460;13814;;#VALORE!;718;5,249601853;#VALORE!;#VALORE!;78;0;10;5;8;;;;;;;;;;;;;
30/03/2020;484;75;559;849;1408;78;95;71;76;;;1555;14758;;#VALORE!;944;6,07670416;#VALORE!;#VALORE!;41;4;33;6;11;;;;;;;;;;;;;
31/03/2020;503;72;575;917;1492;84;92;74;81;;;1647;15634;;#VALORE!;876;5,154918767;#VALORE!;#VALORE!;68;-3;19;3;5;;;;;;;;;;;;;
01/04/2020;496;72;568;976;1544;52;71;86;88;;;1718;16836;;#VALORE!;1202;5,069018769;#VALORE!;#VALORE!;59;0;-7;12;7;;;;;;;;;;;;;
02/04/2020;503;73;576;1030;1606;62;73;92;93;;;1791;17833;;#VALORE!;997;4,081253855;#VALORE!;#VALORE!;54;1;7;6;5;;;;;;;;;;;;;
03/04/2020;535;73;608;1056;1664;58;68;94;101;;;1859;18686;;#VALORE!;853;3,104142138;#VALORE!;#VALORE!;26;0;32;2;8;;;;;;;;;;;;;
04/04/2020;553;74;627;1099;1726;62;73;95;111;;;1932;19896;;#VALORE!;1210;4,439585846;#VALORE!;#VALORE!;43;1;18;1;10;;;;;;;;;;;;;
05/04/2020;556;76;632;1142;1774;48;62;104;116;;;1994;21904;;#VALORE!;2008;5,683710738;#VALORE!;#VALORE!;43;2;3;9;5;;;;;;;;;;;;;
06/04/2020;563;74;637;1178;1815;41;52;108;123;;;2046;23464;;#VALORE!;1560;3,457211047;#VALORE!;#VALORE!;36;-2;7;4;7;;;;;;;;;;;;;
07/04/2020;562;73;635;1224;1859;44;51;113;125;;;2097;24857;;#VALORE!;1393;2,85806815;#VALORE!;#VALORE!;46;-1;-1;5;2;;;;;;;;;;;;;
08/04/2020;563;65;628;1265;1893;34;62;133;133;;;2159;27438;;#VALORE!;2581;5,832130622;#VALORE!;#VALORE!;41;-8;1;20;8;;;;;;;;;;;;;
09/04/2020;566;63;629;1313;1942;49;73;152;138;;;2232;28742;;#VALORE!;1304;3,311947672;#VALORE!;#VALORE!;48;-2;3;19;5;;;;;;;;;;;;;
10/04/2020;568;62;630;1337;1967;25;70;187;148;;;2302;31156;;#VALORE!;2414;5,423674413;#VALORE!;#VALORE!;24;-1;2;35;10;;;;;;;;;;;;;
11/04/2020;562;58;620;1381;2001;34;62;209;154;;;2364;33787;;#VALORE!;2631;4,827951579;#VALORE!;#VALORE!;44;-4;-6;22;6;;;;;;;;;;;;;
12/04/2020;552;53;605;1425;2030;29;52;223;163;;;2416;36098;;#VALORE!;2311;3,329048701;#VALORE!;#VALORE!;44;-5;-10;14;9;;;;;;;;;;;;;
13/04/2020;554;51;605;1445;2050;20;42;237;171;;;2458;37311;;#VALORE!;1213;1,365441827;#VALORE!;#VALORE!;20;-2;2;14;8;;;;;;;;;;;;;
14/04/2020;552;53;605;1466;2071;21;43;255;175;;;2501;37877;;#VALORE!;566;0,642553529;#VALORE!;#VALORE!;21;2;-2;18;4;;;;;;;;;;;;;
15/04/2020;541;49;590;1491;2081;10;34;273;181;;;2535;39867;;#VALORE!;1990;1,697143;#VALORE!;#VALORE!;25;-4;-11;18;6;;;;;;;;;;;;;
16/04/2020;525;48;573;1535;2108;27;44;284;187;;;2579;42405;;#VALORE!;2538;2,633463035;#VALORE!;#VALORE!;44;-1;-16;11;6;;;;;;;;;;;;;
17/04/2020;521;46;567;1572;2139;31;46;296;190;;;2625;45172;;#VALORE!;2767;2,817718941;#VALORE!;#VALORE!;37;-2;-4;12;3;;;;;;;;;;;;;
18/04/2020;526;42;568;1603;2171;32;47;305;196;;;2672;47715;;#VALORE!;2543;2,504893639;#VALORE!;#VALORE!;31;-4;5;9;6;;;;;;;;;;;;;
19/04/2020;522;41;563;1639;2202;31;45;315;200;;;2717;49772;49772;#VALORE!;2057;1,8597806;#VALORE!;#VALORE!;36;-1;-4;10;4;;;;;;;;;;;;;
20/04/2020;526;39;565;1645;2210;8;42;346;203;;;2759;51373;51373;1601;1601;1,30889767;1,30889767;#VALORE!;6;-2;4;31;3;;;;;;;;;;;;;
